Nombre Entidad,NIT Entidad,Nivel,Orden,Municipio,Numero de Resolucion,Documento Contratista,Nombre Contratista,Numero de Contrato,Valor Sancion,Fecha de Publicacion,Fecha de Firmeza,Fecha de Cargue,Ruta de Proceso;
"ADMINISTRADORA DE LOS RECURSOS DEL SISTEMA GENERAL DE SEGURIDAD SOCIAL EN SALUD,901037916,NACIONAL,NACIONAL DESCENTRALIZADO,Bogotá D.C.,RESOLUCION 41549 DE 2019,1067811412,JORGE HUMBERTO FERIAS MANJARRES,ADRES-CTO-137-2019,""3,797,492"",11/07/2019 12:00:00 AM,11/14/2019 12:00:00 AM,11/15/2019 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26189079";
"AGENCIA LOGÍSTICA DE LAS FUERZAS MILITARES (ALFM),899999162,NACIONAL,NACIONAL DESCENTRALIZADO,Acacías,070,9005939217,JL INGENIEROS OBRAS Y SUMINISTROS SAS,001-200-2014,""11,725,280"",02/02/2015 12:00:00 AM,02/02/2015 12:00:00 AM,04/09/2015 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26182025";
"AGENCIA LOGÍSTICA DE LAS FUERZAS MILITARES (ALFM),899999162,NACIONAL,NACIONAL DESCENTRALIZADO,Acacías,209,9005939217,JL INGENIEROS OBRAS Y SUMINISTROS LTDA,0001-200-2014,""11,725,280"",02/20/2015 12:00:00 AM,02/26/2015 12:00:00 AM,04/09/2015 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26182024";
"CÓRDOBA - ALCALDÍA MUNICIPIO DE MONTERÍA,890000858-1,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 2,Montería,0389 de 20 septiembre de 2024,901382075,CONSORCIO ACUEDUCTO ETS,378-2020,""75,000,000"",09/20/2024 12:00:00 AM,09/20/2024 12:00:00 AM,09/27/2024 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=261811701";
"AGENCIA NACIONAL DE DEFENSA JURÍDICA DEL ESTADO (ANDJE),900507741,NACIONAL,NACIONAL CENTRALIZADO,Bogotá D.C.,039-2015,8605100317,GRUPO ASESORIA EN SISTEMATIZACION DE DATOS SAS,147-2013,""247,933,482"",02/09/2015 12:00:00 AM,02/17/2015 12:00:00 AM,08/13/2015 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26182471";
"AGENCIA NACIONAL DE DEFENSA JURÍDICA DEL ESTADO (ANDJE),900507741,NACIONAL,NACIONAL CENTRALIZADO,Bogotá D.C.,153-2014,39688917,KARIN IRINA KUHFELDT SALAZAR,255-2013,""8,589,700"",06/19/2014 12:00:00 AM,08/14/2014 12:00:00 AM,08/13/2015 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26182470";
"AGENCIA NACIONAL DE DEFENSA JURÍDICA DEL ESTADO (ANDJE),900507741,NACIONAL,NACIONAL CENTRALIZADO,Bogotá D.C.,214-2014,39688917,KARIN IRINA KUHFELDT SALAZAR,255-2013,""8,589,700"",08/14/2014 12:00:00 AM,08/27/2014 12:00:00 AM,09/15/2014 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26181181";
AGENCIA NACIONAL DE INFRAESTRUCTURA (ANI),830125996,NACIONAL,NACIONAL DESCENTRALIZADO,Barranquilla,RESOLUCION 1588-2016/1877-2016,9008171150,SOCIEDAD GRUPO AEROPORTUARIO DEL CARIBE SAS,CONTRATO DE CONCESION 003-2015,0,10/25/2016 12:00:00 AM,12/19/2016 12:00:00 AM,12/29/2016 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26184845;
"AGENCIA NACIONAL DE INFRAESTRUCTURA (ANI),830125996,NACIONAL,NACIONAL DESCENTRALIZADO,Barranquilla,RESOLUCION No 1961 DE 2019 Y SUS ANEXOS,8190051819,SOCIEDAD PORTUARIA RIO CORDOBA SA,CONTRATO DE CONCESION NO 022-1998,""712,628,446"",12/23/2019 12:00:00 AM,08/14/2020 12:00:00 AM,08/21/2020 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26189698";
"RISARALDA - ALCALDÍA MUNICIPIO DE BALBOA,890801143,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Balboa,570-2024,901574342,CONSORCIO SACuDETE BALBOA,COP001-2022,""23,824,898"",10/10/2024 12:00:00 AM,10/16/2024 12:00:00 AM,10/31/2024 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=261811738";
"AGENCIA NACIONAL DE INFRAESTRUCTURA (ANI),830125996,NACIONAL,NACIONAL DESCENTRALIZADO,Bogotá D.C.,1301-2019,9007851510,GENESIS CONSTRUCCIONES S.A.S.,VAF-468-2018,""5,770,034"",09/02/2019 12:00:00 AM,09/23/2019 12:00:00 AM,09/27/2019 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26188899";
"Z ENTIDAD DE PRUEBA,No Definido,NACIONAL,NACIONAL DESCENTRALIZADO,Bogotá D.C.,Are,1018499777,FERNANDO ZAMBRANO,20251456,""10,000,000"",11/19/2024 12:00:00 AM,11/19/2024 12:00:00 AM,11/19/2024 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=261811767";
"AGENCIA NACIONAL DE INFRAESTRUCTURA (ANI),830125996,NACIONAL,NACIONAL DESCENTRALIZADO,Bogotá D.C.,RESOLUCION 592-2014,890 804 378 9,DATAPOINT DE COLOMBIA S.A.S,VPRE-288,""73,037,325"",04/22/2014 12:00:00 AM,04/25/2014 12:00:00 AM,05/29/2014 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=2618727";
"AGENCIA NACIONAL DE INFRAESTRUCTURA (ANI),830125996,NACIONAL,NACIONAL DESCENTRALIZADO,Bogotá D.C.,RESOLUCION 688 DE 2018,53028238,ADRIANA CAROLINA ROCHA PARAMO,VJ-185-2017,""291,652"",04/26/2018 12:00:00 AM,04/30/2018 12:00:00 AM,01/24/2019 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26188037";
"Z ENTIDAD DE PRUEBA,No Definido,NACIONAL,NACIONAL DESCENTRALIZADO,Bogotá D.C.,123456,1018499777,FERNANDO ZAMBRANO,20251456,""2,000,000"",11/30/2024 12:00:00 AM,12/28/2024 12:00:00 AM,11/19/2024 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=261811772";
"AGENCIA NACIONAL DE INFRAESTRUCTURA (ANI),830125996,NACIONAL,NACIONAL DESCENTRALIZADO,Bogotá D.C.,RESOLUCION No 1023 DE 2019 Y SUS ANEXOS,9002432795,SOCIEDAD PORTUARIA PUERTO HONDA S.A.,004-2011,""26,117,546"",07/10/2019 12:00:00 AM,05/22/2020 12:00:00 AM,07/21/2020 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26189679";
"AGENCIA NACIONAL DE INFRAESTRUCTURA (ANI),830125996,NACIONAL,NACIONAL DESCENTRALIZADO,Bogotá D.C.,RESOLUCION No 1290 DE 2019 Y SUS ANEXOS,9002432795,SOCIEDAD PORTUARIA PUERTO HONDA S.A.,004-2011,""26,117,546"",08/29/2019 12:00:00 AM,05/22/2020 12:00:00 AM,07/21/2020 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=26189678";
"AGENCIA NACIONAL DE INFRAESTRUCTURA (ANI),830125996,NACIONAL,NACIONAL DESCENTRALIZADO,Bogotá D.C.,RESOLUCION No 1956 DE 2019 Y SUS ANEXOS,8002358727,CONCESIONARIA VIAL DE LOS ANDES - COVIANDES S.A.S,CONTRATO DE CONCESION NO 444 DE 1994,""33,359,652,082"",12/20/2019 12:00:00 AM,01/15/2021 12:00:00 AM,01/25/2021 12:00:00 AM,https://www.contratos.gov.co/consultas/detalleProcesoAACS.do?numProcAACS=261810225";
